country,year,carbon_total,carbon_per_person,coal,sulfur,greenhouse
South Korea,1977,106000,2.9,0.268,338,145000
Spain,1977,195000,5.32,0.3,1420,243000
Sweden,1977,85800,10.4,0.179,302,107000
Switzerland,1977,41100,6.5,0.0396,62.9,52300
Thailand,1977,32100,0.723,0.00346,106,133000
Trinidad and Tobago,1977,16200,15.6,0,82.8,0
Turkey,1977,81200,1.97,0.155,262,147000
Turkmenistan,1977,36600,13.7,0,64,31200
Ukraine,1977,596000,12.1,0,1900,678000
United Arab Emirates,1977,38800,52.7,0,8.38,69600
United Kingdom,1977,605000,10.8,1.3,2540,834000
United States,1977,4740000,21.2,1.57,13000,6050000
Uzbekistan,1977,98100,6.7,0,237,76400
Venezuela,1977,63700,4.56,0.0181,327,140000
Vietnam,1977,15300,0.3,0.0524,47.9,83300
Algeria,1978,62500,3.45,0.0017,31.3,82000
Argentina,1978,103000,3.79,0.0445,240,248000
Australia,1978,202000,14.2,1.81,592,378000
Austria,1978,57300,7.51,0.433,170,77900
Azerbaijan,1978,47700,8,0,73.3,46300
Bangladesh,1978,5990,0.0794,0.00162,111,118000
Belarus,1978,104000,11,0,370,179000
Belgium,1978,136000,13.8,0.949,382,167000
Brazil,1978,176000,1.53,0.0431,807,1340000
Bulgaria,1978,81300,9.2,0.95,900,112000
Canada,1978,416000,17.4,0.801,2140,550000
Chile,1978,22900,2.06,0.0816,703,41700
China,1978,1460000,1.5,0.293,6450,2730000
Colombia,1978,41600,1.62,0.0867,64.5,146000
Czech Republic,1978,188000,18.3,3.87,1150,217000
Denmark,1978,61100,12,0.707,185,81500
Ecuador,1978,10400,1.37,0,46.2,21000
Egypt,1978,39300,0.952,0.0147,202,73800
Finland,1978,51900,10.9,0.886,261,75200
France,1978,507000,9.49,0.546,1610,688000
Germany,1978,1080000,13.7,1.66,3520,1360000
Greece,1978,47700,5.08,0.768,192,66900
Hungary,1978,88100,8.24,0.764,831,122000
India,1978,282000,0.422,0.0763,1160,875000
Indonesia,1978,94000,0.669,0.00095,121,502000
Iran,1978,162000,4.51,0.0219,589,225000
Ireland,1978,23600,7.16,0.518,91.8,54700
Israel,1978,21000,5.93,0,84,23200
Italy,1978,372000,6.64,0.174,1640,458000
Japan,1978,902000,7.79,0.405,708,1130000
Kazakhstan,1978,213000,14.7,0,1100,227000
Kuwait,1978,21000,17.1,0,247,47500
Lithuania,1978,29200,8.64,0,155,124000
Malaysia,1978,23300,1.77,0.00183,87.1,139000
Mexico,1978,222000,3.45,0.0354,699,333000
Netherlands,1978,170000,12.2,0.258,218,218000
New Zealand,1978,18000,5.77,0.408,34,57600
Norway,1978,32700,8.07,0.209,74.7,64200
Pakistan,1978,26100,0.356,0.0081,143,112000
Peru,1978,22400,1.34,0.0077,318,56700
Philippines,1978,37400,0.834,0.00296,232,92100
Poland,1978,431000,12.4,2.72,1980,624000
Portugal,1978,22600,2.37,0.0446,93.1,37300
Qatar,1978,10500,54.8,0,1.07,17300
Romania,1978,194000,8.69,0.504,455,263000
Russia,1978,2040000,15,0,9090,2910000
Saudi Arabia,1978,115000,13.3,0,259,188000
Singapore,1978,33100,14.2,0.00197,69,0
Slovak Republic,1978,60100,12.3,1.47,384,67900
South Africa,1978,202000,7.45,1.31,875,287000
South Korea,1978,113000,3.07,0.267,360,156000
Spain,1978,200000,5.39,0.255,1300,243000
Sweden,1978,79500,9.61,0.183,269,102000
Switzerland,1978,42200,6.7,0.0357,51.4,53700
Thailand,1978,35000,0.77,0.00436,106,141000
Trinidad and Tobago,1978,15300,14.5,0,71.5,0
Turkey,1978,76800,1.83,0.154,258,147000
Turkmenistan,1978,37900,13.8,0,64.6,33000
Ukraine,1978,617000,12.5,0,1920,681000
United Arab Emirates,1978,44800,53.6,0,4.18,78600
United Kingdom,1978,605000,10.8,1.26,2610,831000
United States,1978,4890000,21.7,1.54,12200,6050000
Uzbekistan,1978,102000,6.74,0,240,79000
Venezuela,1978,68600,4.78,0.00543,314,153000
Vietnam,1978,15400,0.296,0.0496,46.4,83200
Algeria,1979,45600,2.44,0.00384,29.8,84400
Argentina,1979,111000,4.03,0.0347,257,256000
Australia,1979,205000,14.2,1.87,609,412000
Austria,1979,61400,8.06,0.471,185,80600
Azerbaijan,1979,48100,7.94,0,72.9,48400
Bangladesh,1979,6620,0.0854,0.00117,95.1,121000
Belarus,1979,105000,11.1,0,367,185000
Belgium,1979,140000,14.2,1.06,406,176000
Brazil,1979,187000,1.59,0.0457,915,1420000
Bulgaria,1979,79000,8.92,0.977,959,116000
Canada,1979,442000,18.3,0.75,2240,657000
Chile,1979,24700,2.2,0.0889,713,43600
China,1979,1490000,1.51,0.299,6610,2770000
Colombia,1979,44300,1.68,0.0855,69.3,150000
Czech Republic,1979,183000,17.7,3.85,1160,227000
Denmark,1979,63000,12.3,0.842,207,84800
Ecuador,1979,12200,1.56,0,55.2,22300
Egypt,1979,42900,1.02,0.0159,209,76900
Finland,1979,54300,11.4,0.851,285,75500
France,1979,531000,9.89,0.591,1710,697000
Germany,1979,1120000,14.3,1.76,3730,1410000
Greece,1979,50900,5.34,0.416,216,70200
Hungary,1979,86200,8.02,0.767,831,121000
India,1979,296000,0.433,0.0792,1190,905000
Indonesia,1979,95200,0.661,0.00139,142,697000
Iran,1979,164000,4.4,0.0305,580,200000
Ireland,1979,27400,8.21,0.586,117,59400
Israel,1979,20900,5.76,0,85,23600
Italy,1979,386000,6.86,0.19,1620,476000
Japan,1979,954000,8.16,0.429,682,1160000
Kazakhstan,1979,215000,14.7,0,1090,218000
Kuwait,1979,17600,13.6,0,211,55600
Lithuania,1979,29400,8.65,0,154,128000
Malaysia,1979,27300,2.03,0.00253,85.5,132000
Mexico,1979,241000,3.64,0.0339,775,362000
Netherlands,1979,187000,13.3,0.244,247,229000
New Zealand,1979,16500,5.27,0.363,33.3,56000
Norway,1979,34800,8.54,0.259,73.4,68000
Pakistan,1979,28200,0.373,0.00875,156,117000
Peru,1979,22200,1.3,0.00797,339,58800
Philippines,1979,38100,0.826,0.00252,251,94600
Poland,1979,442000,12.5,2.73,2040,618000
Portugal,1979,24900,2.57,0.046,123,40300
Qatar,1979,14400,70,0,4.11,17800
Romania,1979,196000,8.72,0.538,492,269000
Russia,1979,2060000,15,0,9040,2960000
Saudi Arabia,1979,138000,15.1,0,312,217000
Singapore,1979,36100,15.2,0.00028,72.9,0
Slovak Republic,1979,58500,11.8,1.44,387,69000
South Africa,1979,219000,7.87,1.36,982,299000
South Korea,1979,133000,3.55,0.316,433,173000
Spain,1979,203000,5.43,0.288,1260,256000
Sweden,1979,84900,10.2,0.216,251,105000
Switzerland,1979,39900,6.35,0.037,56.1,52100
Thailand,1979,36600,0.789,0.00897,133,138000
Trinidad and Tobago,1979,16700,15.6,0,69,0
Turkey,1979,75100,1.75,0.155,330,142000
Turkmenistan,1979,38200,13.6,0,64.2,34000
Ukraine,1979,622000,12.5,0,1910,695000
United Arab Emirates,1979,36600,39.3,0,31.5,57200
United Kingdom,1979,645000,11.5,1.36,2760,877000
United States,1979,4900000,21.5,1.67,12200,6140000
Uzbekistan,1979,102000,6.61,0,238,79200
Venezuela,1979,76500,5.18,0.011,325,168000
Vietnam,1979,16300,0.306,0.0501,48.1,83100
Algeria,1980,66500,3.46,0.00331,76.8,83300
Argentina,1980,109000,3.89,0.0332,271,254000
Australia,1980,221000,15.1,1.91,575,434000
Austria,1980,52100,6.84,0.484,172,78800
Azerbaijan,1980,50000,8.13,0,73.4,51100
Bangladesh,1980,7600,0.0955,0.00152,130,115000
Belarus,1980,109000,11.4,0,370,188000
Belgium,1980,135000,13.7,1.06,414,165000
Brazil,1980,186000,1.54,0.0487,931,1500000
Bulgaria,1980,77300,8.7,1.02,1030,120000
Canada,1980,443000,18.2,0.904,2320,712000
Chile,1980,25100,2.2,0.0968,709,44000
China,1980,1460000,1.46,0.306,6470,2760000
Colombia,1980,44200,1.64,0.0877,67.2,154000
Czech Republic,1980,185000,17.9,3.72,1130,220000
Denmark,1980,60400,11.8,1.2,226,85600
Ecuador,1980,13400,1.68,0,62.8,23500
Egypt,1980,45200,1.04,0.0125,244,84800
Finland,1980,58200,12.2,0.963,292,76400
France,1980,506000,9.4,0.576,1630,675000
Germany,1980,1100000,14.1,1.81,3760,1350000
Greece,1980,50900,5.29,0.411,200,70400
Hungary,1980,86800,8.07,0.751,817,120000
India,1980,313000,0.447,0.0814,1270,929000
Indonesia,1980,95000,0.644,0.00172,177,714000
Iran,1980,121000,3.12,0.0309,542,167000
Ireland,1980,26300,7.77,0.548,111,58400
Israel,1980,21000,5.67,0.00027,87.7,23600
Italy,1980,387000,6.86,0.223,1880,478000
Japan,1980,946000,8.03,0.494,639,1140000
Kazakhstan,1980,224000,15.1,0,1100,220000
Kuwait,1980,24600,18,0,207,47100
Lithuania,1980,30600,8.92,0,156,132000
Malaysia,1980,28100,2.03,0.00362,93.8,151000
Mexico,1980,268000,3.96,0.0335,991,387000
Netherlands,1980,177000,12.5,0.282,245,219000
New Zealand,1980,17500,5.56,0.372,36.7,58600
Norway,1980,31900,7.81,0.239,68.7,66500
Pakistan,1980,32000,0.409,0.00902,183,119000
Peru,1980,24100,1.37,0.00818,320,60600
Philippines,1980,36900,0.779,0.00295,267,90500
Poland,1980,464000,13,2.86,2050,606000
Portugal,1980,26800,2.75,0.0357,133,41400
Qatar,1980,13100,58.5,0,2.01,16200
Romania,1980,196000,8.68,0.547,528,266000
Russia,1980,2140000,15.5,0,9100,3030000
Saudi Arabia,1980,169000,17.5,0,325,261000
Singapore,1980,31400,13,0.00123,71.1,0
Slovak Republic,1980,59200,11.9,1.62,390,76300
South Africa,1980,228000,8,1.44,1070,308000
South Korea,1980,135000,3.55,0.347,481,175000
Spain,1980,214000,5.68,0.329,1420,270000
Sweden,1980,71800,8.63,0.205,246,97900
Switzerland,1980,40500,6.45,0.0542,58,53200
Thailand,1980,40000,0.844,0.0095,144,145000
Trinidad and Tobago,1980,16900,15.6,0,76.2,0
Turkey,1980,75300,1.71,0.16,324,147000
Turkmenistan,1980,39700,13.8,0,64.7,31200
Ukraine,1980,646000,12.9,0,1920,693000
United Arab Emirates,1980,36900,36.1,0,8.85,60200
United Kingdom,1980,580000,10.3,1.26,2430,807000
United States,1980,4720000,20.6,1.69,11800,5900000
Uzbekistan,1980,106000,6.69,0,240,76400
Venezuela,1980,90700,5.97,0.0102,330,180000
Vietnam,1980,16800,0.309,0.0418,48.5,85100
Algeria,1981,46400,2.34,0.00226,87.8,79900
Argentina,1981,102000,3.6,0.0297,229,246000
Australia,1981,230000,15.6,1.93,622,388000
Austria,1981,55900,7.35,0.496,152,75500
Azerbaijan,1981,49100,7.85,0,68.4,55400
Bangladesh,1981,7890,0.0965,0.00152,132,116000
Belarus,1981,107000,11.1,0,365,190000
Belgium,1981,124000,12.5,1.1,356,154000
Brazil,1981,171000,1.38,0.0466,938,1390000
Bulgaria,1981,80100,9,1.03,1040,116000
Canada,1981,430000,17.4,0.913,2150,699000
Chile,1981,24400,2.1,0.0951,702,41800
China,1981,1440000,1.42,0.3,6460,2720000
Colombia,1981,44300,1.61,0.0873,68.8,150000
Czech Republic,1981,183000,17.6,3.69,1170,220000
Denmark,1981,51800,10.1,0.959,185,73200
Ecuador,1981,16700,2.03,0,65.1,25100
Egypt,1981,50900,1.15,0.0157,268,93500
Finland,1981,51400,10.7,0.588,267,66600
France,1981,456000,8.42,0.523,1280,622000
Germany,1981,1050000,13.4,1.84,3720,1320000
Greece,1981,50200,5.16,0.403,231,69900
Hungary,1981,86500,8.05,0.755,790,120000
India,1981,337000,0.472,0.0895,1410,980000
Indonesia,1981,100000,0.665,0.00179,164,638000
Iran,1981,113000,2.8,0.0248,494,164000
Ireland,1981,26100,7.62,0.568,96,57800
Israel,1981,21000,5.58,0.00026,79.3,24500
Italy,1981,376000,6.65,0.227,1670,467000
Japan,1981,928000,7.81,0.55,625,1110000
Kazakhstan,1981,219000,14.7,0,1020,206000
Kuwait,1981,25200,17.5,0,173,42900
Lithuania,1981,30100,8.71,0,156,133000
Malaysia,1981,30900,2.19,0.00658,94.5,138000
Mexico,1981,284000,4.09,0.029,1080,407000
Netherlands,1981,164000,11.5,0.311,232,217000
New Zealand,1981,16600,5.24,0.369,32.8,58400
Norway,1981,32000,7.8,0.239,64,62700
Pakistan,1981,34300,0.425,0.0099,188,124000
Peru,1981,24000,1.34,0.00809,306,60100
Philippines,1981,34600,0.71,0.00498,245,87100
Poland,1981,409000,11.4,2.53,1870,569000
Portugal,1981,27000,2.75,0.0402,136,43000
Qatar,1981,12900,51.8,0,8.17,14900
Romania,1981,198000,8.7,0.572,548,270000
Russia,1981,2100000,15.1,0,8620,3030000
Saudi Arabia,1981,175000,17,0,359,237000
Singapore,1981,26800,10.9,0.00187,81,0
Slovak Republic,1981,58600,11.6,1.56,321,75500
South Africa,1981,257000,8.77,1.66,1210,312000
South Korea,1981,140000,3.62,0.395,556,182000
Spain,1981,206000,5.43,0.403,1390,275000
Sweden,1981,69400,8.34,0.176,216,90400
Switzerland,1981,38800,6.17,0.08,54,51500
Thailand,1981,37800,0.783,0.0104,146,143000
Trinidad and Tobago,1981,17300,15.7,0,66.7,0
Turkey,1981,79300,1.76,0.16,364,150000
Turkmenistan,1981,38900,13.2,0,60.3,32500
Ukraine,1981,634000,12.6,0,1750,691000
United Arab Emirates,1981,36800,33.6,0,36.8,53900
United Kingdom,1981,561000,9.98,1.26,2200,789000
United States,1981,4530000,19.6,1.73,11200,5830000
Uzbekistan,1981,104000,6.39,0,224,78100
Venezuela,1981,91900,5.89,0.00982,304,177000
Vietnam,1981,17700,0.319,0.0455,48.4,86400
Algeria,1982,39200,1.92,0.0406,99.4,83100
Argentina,1982,103000,3.59,0.0291,200,244000
Australia,1982,234000,15.6,1.92,691,429000
Austria,1982,53600,7.05,0.472,144,73100
Azerbaijan,1982,50000,7.87,0,70.2,56900
Bangladesh,1982,8560,0.102,0.0018,119,118000
Belarus,1982,109000,11.2,0,355,188000
Belgium,1982,117000,11.9,1.1,347,145000
Brazil,1982,171000,1.35,0.0481,903,1450000
Bulgaria,1982,89900,10.1,1.08,1100,118000
Canada,1982,415000,16.6,0.955,1810,576000
Chile,1982,20500,1.74,0.0624,778,38100
China,1982,1570000,1.53,0.313,6910,2820000
Colombia,1982,45700,1.63,0.0889,66.9,155000
Czech Republic,1982,181000,17.5,3.72,1190,222000
Denmark,1982,53700,10.5,1.16,189,76200
Ecuador,1982,19300,2.29,0,66.1,25600
Egypt,1982,56500,1.24,0.0158,277,99900
Finland,1982,43000,8.9,0.65,242,64700
France,1982,438000,8.06,0.532,1230,597000
Germany,1982,1020000,13,1.8,3720,1270000
Greece,1982,51600,5.26,0.406,218,71500
Hungary,1982,86800,8.1,0.79,773,119000
India,1982,348000,0.475,0.0865,1480,1010000
Indonesia,1982,106000,0.684,0.00165,158,2490000
Iran,1982,138000,3.29,0.0322,554,201000
Ireland,1982,25600,7.41,0.595,79,57700
Israel,1982,23900,6.22,0.143,106,25700
Italy,1982,367000,6.48,0.254,1430,457000
Japan,1982,898000,7.51,0.52,567,1060000
Kazakhstan,1982,223000,14.8,0,1050,207000
Kuwait,1982,21100,14,0,228,42800
Lithuania,1982,30700,8.81,0,152,134000
Malaysia,1982,30700,2.12,0.00587,77.4,141000
Mexico,1982,304000,4.28,0.0339,1020,452000
Netherlands,1982,134000,9.35,0.358,202,205000
New Zealand,1982,18300,5.73,0.359,30.1,60500
Norway,1982,31100,7.56,0.229,55.4,58700
Pakistan,1982,37200,0.446,0.0109,207,130000
Peru,1982,23600,1.28,0.00894,310,60700
Philippines,1982,34900,0.697,0.00541,225,87000
Poland,1982,421000,11.6,2.59,2050,575000
Portugal,1982,29000,2.94,0.0369,145,43600
Qatar,1982,12300,44.5,0,2.82,16300
Romania,1982,195000,8.56,0.544,552,268000
Russia,1982,2140000,15.3,0,8830,3060000
Saudi Arabia,1982,158000,14.4,0,348,230000
Singapore,1982,29600,11.8,0.00065,75,0
Slovak Republic,1982,58000,11.4,1.58,287,73100
South Africa,1982,281000,9.31,1.77,1230,309000
South Korea,1982,142000,3.63,0.394,520,181000
Spain,1982,209000,5.46,0.444,1370,268000
Sweden,1982,62300,7.48,0.196,186,84100
Switzerland,1982,36600,5.79,0.0705,50,48000
Thailand,1982,37700,0.765,0.0132,140,142000
Trinidad and Tobago,1982,18400,16.4,0,43.6,0
Turkey,1982,86300,1.87,0.175,405,159000
Turkmenistan,1982,39700,13.1,0,61.9,34200
Ukraine,1982,646000,12.8,0,1710,691000
United Arab Emirates,1982,36800,31.6,0,42,52800
United Kingdom,1982,549000,9.76,1.17,2090,773000
United States,1982,4310000,18.4,1.65,10500,5530000
Uzbekistan,1982,106000,6.35,0,230,81000
Venezuela,1982,93300,5.82,0.00546,274,181000
Vietnam,1982,18300,0.323,0.0492,49.4,89200
Algeria,1983,52500,2.49,0.0351,120,89100
Argentina,1983,105000,3.59,0.026,149,249000
Australia,1983,225000,14.8,1.9,670,387000
Austria,1983,51700,6.8,0.505,109,73200
Azerbaijan,1983,50700,7.86,0,67.9,58600
Bangladesh,1983,8190,0.0951,0.00099,78.7,113000
Belarus,1983,111000,11.3,0,355,188000
Belgium,1983,101000,10.2,0.938,280,136000
Brazil,1983,166000,1.28,0.0529,906,1460000
Bulgaria,1983,90100,10.1,1.08,1100,117000
Canada,1983,409000,16.2,0.989,1810,573000
Chile,1983,20700,1.74,0.0737,786,38600
China,1983,1660000,1.59,0.331,7370,2950000
Colombia,1983,49200,1.72,0.0958,84,157000
Czech Republic,1983,181000,17.5,3.71,1170,222000
Denmark,1983,50200,9.81,1.11,161,74400
Ecuador,1983,19500,2.26,0,55.3,24800
Egypt,1983,57000,1.22,0.0146,248,106000
Finland,1983,41500,8.53,0.702,186,63700
France,1983,424000,7.76,0.479,1010,584000
Germany,1983,1010000,13,1.87,3670,1270000
Greece,1983,54800,5.56,0.495,235,75300
Hungary,1983,89000,8.35,0.746,740,115000
India,1983,377000,0.503,0.0897,1530,1060000
Indonesia,1983,105000,0.666,0.00161,157,1110000
Iran,1983,149000,3.42,0.0291,480,220000
Ireland,1983,25700,7.4,0.641,71,57900
Israel,1983,23700,6.08,0.265,110,26600
Italy,1983,359000,6.32,0.237,1230,452000
Japan,1983,882000,7.32,0.509,525,1070000
Kazakhstan,1983,226000,14.8,0,1020,204000
Kuwait,1983,21600,13.7,0,232,49100
Lithuania,1983,31200,8.88,0,155,136000
Malaysia,1983,38100,2.57,0.0149,93.1,221000
Mexico,1983,278000,3.82,0.0378,880,421000
Netherlands,1983,137000,9.57,0.367,162,202000
New Zealand,1983,18000,5.6,0.394,29.2,60800
Norway,1983,32100,7.79,0.243,51.9,59400
Pakistan,1983,40100,0.464,0.0119,186,133000
Peru,1983,20400,1.08,0.00739,294,57000
Philippines,1983,35300,0.686,0.00958,213,91700
Poland,1983,421000,11.5,2.56,2040,578000
Portugal,1983,29900,3.02,0.0402,153,44300
Qatar,1983,11300,36.4,0,0.196,15600
Romania,1983,200000,8.74,0.626,615,279000
Russia,1983,2170000,15.4,0,8570,3080000
Saudi Arabia,1983,161000,13.8,0,402,223000
Singapore,1983,34800,13.5,0.00126,66.7,0
Slovak Republic,1983,58100,11.4,1.57,322,72900
South Africa,1983,292000,9.43,1.75,1290,300000
South Korea,1983,151000,3.8,0.415,485,193000
Spain,1983,204000,5.3,0.464,1380,272000
Sweden,1983,58300,7,0.246,153,78500
Switzerland,1983,40100,6.3,0.0612,46,53400
Thailand,1983,42200,0.84,0.0125,136,161000
Trinidad and Tobago,1983,16300,14.3,0,12.2,0
Turkey,1983,89900,1.91,0.188,439,163000
Turkmenistan,1983,40300,13,0,59.8,36000
Ukraine,1983,655000,12.9,0,1750,696000
United Arab Emirates,1983,35200,28.7,0,33.6,51000
United Kingdom,1983,546000,9.7,1.18,1920,763000
United States,1983,4340000,18.4,1.69,10300,5520000
Uzbekistan,1983,108000,6.28,0,222,83600
Venezuela,1983,93000,5.65,0.00744,243,181000
Vietnam,1983,19300,0.331,0.0483,51.1,93300
Algeria,1984,71000,3.26,0.0377,155,92800
Argentina,1984,106000,3.58,0.0173,153,243000
Australia,1984,237000,15.3,1.98,627,398000
Austria,1984,54300,7.13,0.575,100,75500
Azerbaijan,1984,51200,7.8,0,69.7,59800
Bangladesh,1984,9080,0.103,0.00039,64.4,118000
Belarus,1984,112000,11.3,0,345,185000
Belgium,1984,105000,10.6,1.09,250,140000
Brazil,1984,168000,1.27,0.0638,1030,1260000
Bulgaria,1984,87100,9.71,1.08,1120,115000
Canada,1984,426000,16.7,1.09,1980,569000
Chile,1984,22000,1.82,0.0978,804,39600
China,1984,1800000,1.7,0.354,8120,3140000
Colombia,1984,48700,1.66,0.0975,96.1,144000
Czech Republic,1984,187000,18.1,3.78,1150,225000
Denmark,1984,50900,9.95,1.17,153,73400
Ecuador,1984,21200,2.4,0,72.2,26100
Egypt,1984,63800,1.33,0.0144,273,112000
Finland,1984,42200,8.63,0.804,184,64200
France,1984,408000,7.41,0.456,903,575000
Germany,1984,1030000,13.3,1.93,3820,1290000
Greece,1984,56300,5.68,0.525,241,77200
Hungary,1984,90800,8.55,0.729,720,117000
India,1984,386000,0.504,0.0921,1630,1120000
Indonesia,1984,113000,0.697,0.00165,185,711000
Iran,1984,150000,3.3,0.0216,454,211000
Ireland,1984,25600,7.31,0.611,71,58100
Israel,1984,23500,5.93,0.422,117,27700
Italy,1984,365000,6.42,0.268,1060,460000
Japan,1984,938000,7.74,0.566,522,1140000
Kazakhstan,1984,228000,14.7,0,1040,214000
Kuwait,1984,28300,17.1,0,243,47400
Lithuania,1984,31500,8.9,0,152,139000
Malaysia,1984,34800,2.29,0.0157,92.4,155000
Mexico,1984,277000,3.73,0.0371,968,437000
Netherlands,1984,144000,9.99,0.442,150,209000
New Zealand,1984,19400,5.97,0.364,28.5,62300
Norway,1984,34000,8.23,0.271,47.9,62500
Pakistan,1984,42600,0.477,0.0131,206,137000
Peru,1984,20600,1.07,0.00576,325,54000
Philippines,1984,30900,0.584,0.0149,188,83800
Poland,1984,433000,11.7,2.65,2040,584000
Portugal,1984,28800,2.9,0.0496,114,42700
Qatar,1984,12300,36.1,0,13,20000
Romania,1984,189000,8.22,0.622,612,271000
Russia,1984,2190000,15.4,0,8500,3110000
Saudi Arabia,1984,156000,12.5,0,346,171000
Singapore,1984,33200,12.6,0.00189,61.7,0
Slovak Republic,1984,60100,11.7,1.66,348,75800
South Africa,1984,316000,9.92,1.84,1440,0
South Korea,1984,164000,4.07,0.493,531,208000
Spain,1984,198000,5.13,0.47,1260,262000
Sweden,1984,57400,6.88,0.296,148,78600
Switzerland,1984,39200,6.12,0.0781,42,52100
Thailand,1984,45600,0.892,0.0154,142,154000
Trinidad and Tobago,1984,17500,15.2,0,17.5,0
Turkey,1984,95000,1.97,0.207,515,170000
Turkmenistan,1984,40600,12.8,0,61.5,37500
Ukraine,1984,661000,13,0,1740,699000
United Arab Emirates,1984,46200,35.7,0,65.8,66600
United Kingdom,1984,530000,9.4,0.838,1850,731000
United States,1984,4470000,18.8,1.8,10700,5760000
Uzbekistan,1984,109000,6.18,0,228,85800
Venezuela,1984,93100,5.52,0.00793,244,176000
Vietnam,1984,17500,0.294,0.0473,43.5,91800
Algeria,1985,72700,3.24,0.0382,132,104000
Argentina,1985,100000,3.32,0.0198,158,238000
Australia,1985,241000,15.4,2.01,619,457000
Austria,1985,54400,7.15,0.574,91.4,76900
Azerbaijan,1985,55200,8.28,0.0138,85.8,61400
Bangladesh,1985,10200,0.112,0.00053,65.3,119000
Belarus,1985,120000,12.2,0.217,345,183000
Belgium,1985,104000,10.5,1.08,200,138000
Brazil,1985,180000,1.33,0.0739,1030,1320000
Bulgaria,1985,89300,9.94,1.12,1160,118000
Canada,1985,422000,16.4,1.04,1890,577000
Chile,1985,21300,1.74,0.0963,839,38200
China,1985,1950000,1.82,0.38,8950,3140000
Colombia,1985,48100,1.61,0.0985,88,149000
Czech Republic,1985,185000,17.9,3.7,1140,222000
Denmark,1985,60100,11.8,1.42,170,81300
Ecuador,1985,19400,2.14,0,56.2,27300
Egypt,1985,63900,1.3,0.0148,280,116000
Finland,1985,49600,10.1,1.02,191,68600
France,1985,403000,7.29,0.44,754,562000
Germany,1985,1040000,13.5,1.92,3870,1300000
Greece,1985,59800,6,0.606,250,80600
Hungary,1985,86000,8.14,0.72,702,115000
India,1985,425000,0.541,0.0943,1700,1140000
Indonesia,1985,122000,0.738,0.00545,194,745000
Iran,1985,160000,3.38,0.0204,606,222000
Ireland,1985,26800,7.62,0.699,70,59600
Israel,1985,24600,6.1,0.452,116,29500
Italy,1985,369000,6.49,0.264,951,463000
Japan,1985,913000,7.49,0.587,457,1110000
Kazakhstan,1985,246000,15.7,2.42,1290,213000
Kuwait,1985,29100,16.8,0,272,49900
Lithuania,1985,33900,9.51,0.228,152,142000
Malaysia,1985,36400,2.33,0.0204,88.3,142000
Mexico,1985,288000,3.79,0.0394,976,443000
