country,year,carbon_total,carbon_per_person,coal,sulfur,greenhouse
Egypt,1993,92400,1.54,0.0157,295,151000
Finland,1993,56400,11.1,1.08,61,73500
France,1993,396000,6.9,0.252,547,541000
Germany,1993,957000,11.9,1.22,1470,1150000
Greece,1993,84300,8,0.773,272,96300
Hungary,1993,63600,6.14,0.469,379,79300
India,1993,723000,0.78,0.139,2520,1520000
Indonesia,1993,220000,1.15,0.0258,344,1400000
Iran,1993,236000,3.95,0.0186,596,328000
Ireland,1993,33700,9.5,0.852,80.5,66300
Israel,1993,44300,8.98,0.716,167,46700
Italy,1993,431000,7.53,0.186,727,496000
Japan,1993,1170000,9.34,0.617,444,1330000
Kazakhstan,1993,205000,12.7,2.11,1180,327000
Kuwait,1993,49200,27.7,0,80.8,46200
Lithuania,1993,16300,4.45,0.101,62.5,31700
Malaysia,1993,90800,4.66,0.0703,123,236000
Mexico,1993,338000,3.82,0.0411,1090,502000
Netherlands,1993,171000,11.2,0.53,80,234000
New Zealand,1993,27700,7.78,0.348,33.5,66900
Norway,1993,36300,8.4,0.182,17.5,67300
Pakistan,1993,77200,0.66,0.0189,401,195000
Peru,1993,23500,1,0.0125,359,62900
Philippines,1993,49000,0.735,0.0182,231,106000
Poland,1993,365000,9.54,1.94,1360,449000
Portugal,1993,50200,5.02,0.327,160,63300
Qatar,1993,31000,61.8,0,13.4,0
Romania,1993,123000,5.29,0.436,464,175000
Russia,1993,1860000,12.5,0.955,6260,3010000
Saudi Arabia,1993,314000,17.7,0,450,0
Singapore,1993,50900,15.4,0.00623,114,0
Slovak Republic,1993,46500,8.69,1.14,163,56000
South Africa,1993,321000,8.1,1.65,1530,348000
South Korea,1993,322000,7.27,0.584,661,385000
Spain,1993,241000,6.1,0.463,1010,294000
Sweden,1993,57400,6.56,0.312,43.5,79900
Switzerland,1993,43600,6.35,0.0254,14.5,54900
Thailand,1993,121000,2.08,0.0933,579,246000
Trinidad and Tobago,1993,17900,14.4,0,17.9,0
Turkey,1993,171000,3.02,0.279,804,245000
Turkmenistan,1993,27500,6.87,0,51.7,57800
Ukraine,1993,511000,9.95,1.1,1100,712000
United Arab Emirates,1993,65600,30.2,0,69,81300
United Kingdom,1993,580000,10.1,0.924,1560,734000
United States,1993,5290000,20.4,1.92,9880,6280000
Uzbekistan,1993,116000,5.3,0.0629,156,163000
Venezuela,1993,124000,5.9,0.00134,267,225000
Vietnam,1993,22700,0.314,0.0287,67.1,109000
Algeria,1994,86200,3.06,0.0219,135,119000
Argentina,1994,122000,3.55,0.0314,174,271000
Australia,1994,294000,16.5,2.25,950,522000
Austria,1994,61200,7.71,0.384,26.5,79800
Azerbaijan,1994,42000,5.46,0.00052,107,48500
Bangladesh,1994,17600,0.156,0.00025,65.8,131000
Belarus,1994,64400,6.37,0.0994,162,140000
Belgium,1994,125000,12.3,0.883,141,144000
Brazil,1994,240000,1.5,0.0707,1030,1460000
Bulgaria,1994,56000,6.61,0.894,740,76800
Canada,1994,482000,16.7,0.868,1260,807000
Chile,1994,37800,2.67,0.156,1060,62300
China,1994,3010000,2.45,0.535,9200,4610000
Colombia,1994,66800,1.87,0.11,108,170000
Czech Republic,1994,132000,12.8,2.2,635,151000
Denmark,1994,64700,12.4,1.49,72.5,82900
Ecuador,1994,13500,1.21,0,63,36600
Egypt,1994,84600,1.39,0.0166,284,147000
Finland,1994,61800,12.1,1.31,57.5,80800
France,1994,391000,6.79,0.247,521,538000
Germany,1994,941000,11.6,1.18,1240,1140000
Greece,1994,86500,8.12,0.793,256,97400
Hungary,1994,61900,5.98,0.457,371,78500
India,1994,765000,0.809,0.14,2650,1580000
Indonesia,1994,223000,1.15,0.0254,324,2160000
Iran,1994,264000,4.35,0.0185,630,364000
Ireland,1994,34800,9.76,0.811,87.5,67800
Israel,1994,47500,9.31,0.732,176,50100
Italy,1994,425000,7.43,0.198,680,493000
Japan,1994,1230000,9.75,0.645,472,1390000
Kazakhstan,1994,171000,10.7,2.09,1090,289000
Kuwait,1994,55300,33.3,0,121,54800
Lithuania,1994,15800,4.32,0.0842,58.5,30200
Malaysia,1994,93100,4.66,0.0762,126,228000
Mexico,1994,352000,3.9,0.0487,1250,520000
Netherlands,1994,172000,11.2,0.561,73,234000
New Zealand,1994,27900,7.7,0.323,34,68100
Norway,1994,38100,8.78,0.204,17.5,70000
Pakistan,1994,84100,0.699,0.0183,447,201000
Peru,1994,23100,0.97,0.0151,368,57500
Philippines,1994,54200,0.794,0.0172,232,117000
Poland,1994,361000,9.4,1.8,1300,449000
Portugal,1994,50900,5.07,0.339,149,64500
Qatar,1994,30700,60.6,0,13,0
Romania,1994,122000,5.28,0.451,456,171000
Russia,1994,1640000,11.1,0.835,5300,2710000
Saudi Arabia,1994,308000,16.9,0,406,0
Singapore,1994,61400,18,0.00725,117,0
Slovak Republic,1994,43900,8.18,1.02,120,54000
South Africa,1994,339000,8.36,1.67,1560,356000
South Korea,1994,345000,7.69,0.596,627,418000
Spain,1994,254000,6.4,0.476,982,306000
Sweden,1994,59800,6.8,0.334,43.5,82400
Switzerland,1994,42700,6.16,0.0255,15,54800
Thailand,1994,135000,2.29,0.107,558,260000
Trinidad and Tobago,1994,17400,13.9,0,16,0
Turkey,1994,168000,2.91,0.275,827,241000
Turkmenistan,1994,33500,8.13,0.00122,38.2,55800
Ukraine,1994,420000,8.2,0.911,858,607000
United Arab Emirates,1994,72700,31.7,0,70.3,88000
United Kingdom,1994,576000,9.97,0.86,1340,729000
United States,1994,5380000,20.5,1.91,9690,6370000
Uzbekistan,1994,108000,4.84,0.0628,138,157000
Venezuela,1994,130000,6.04,0.00255,304,212000
Vietnam,1994,26000,0.354,0.0311,68.2,114000
Algeria,1995,95100,3.31,0.0215,145,124000
Argentina,1995,128000,3.67,0.0278,165,275000
Australia,1995,306000,17,2.3,898,489000
Austria,1995,64300,8.05,0.434,26,82500
Azerbaijan,1995,33300,4.29,0.00039,131,42500
Bangladesh,1995,21100,0.183,0.0027,69.7,137000
Belarus,1995,58000,5.76,0.0939,138,130000
Belgium,1995,126000,12.4,0.849,128,147000
Brazil,1995,256000,1.58,0.073,1030,1570000
Bulgaria,1995,57600,6.88,0.91,738,81800
Canada,1995,495000,17,0.898,1310,836000
Chile,1995,41100,2.86,0.166,1310,66400
China,1995,3270000,2.63,0.537,9460,5040000
Colombia,1995,58800,1.62,0.0964,115,179000
Czech Republic,1995,132000,12.7,2.19,546,151000
Denmark,1995,61600,11.8,1.24,68,79500
Ecuador,1995,22700,1.98,0,63.5,39000
Egypt,1995,95000,1.52,0.0109,272,156000
Finland,1995,58200,11.4,1.15,48.5,77400
France,1995,398000,6.88,0.252,489,543000
Germany,1995,940000,11.6,1.12,969,1130000
Greece,1995,87000,8.1,0.778,268,99300
Hungary,1995,61700,5.96,0.447,353,77400
India,1995,812000,0.843,0.146,2810,1650000
Indonesia,1995,227000,1.15,0.0275,342,1320000
Iran,1995,271000,4.42,0.017,617,370000
Ireland,1995,35800,9.98,0.811,80.5,68400
Israel,1995,49900,9.47,0.774,185,53300
Italy,1995,452000,7.9,0.214,644,518000
Japan,1995,1240000,9.82,0.667,458,1420000
Kazakhstan,1995,163000,10.3,1.7,1060,247000
Kuwait,1995,54600,34,0,119,57200
Lithuania,1995,15000,4.14,0.0677,47,29200
Malaysia,1995,120000,5.86,0.0814,133,252000
Mexico,1995,332000,3.62,0.0533,1100,516000
Netherlands,1995,173000,11.2,0.576,71,235000
New Zealand,1995,28000,7.63,0.33,35,69600
Norway,1995,38700,8.87,0.221,16.5,70600
Pakistan,1995,83700,0.676,0.018,454,209000
Peru,1995,23700,0.975,0.0155,362,63400
Philippines,1995,60000,0.86,0.0202,238,126000
Poland,1995,363000,9.43,1.83,1190,459000
Portugal,1995,54900,5.44,0.414,167,69200
Qatar,1995,31700,61.8,0,13.2,0
Romania,1995,127000,5.53,0.47,456,177000
Russia,1995,1610000,10.9,0.805,4890,2650000
Saudi Arabia,1995,235000,12.6,0,359,262000
Singapore,1995,41900,11.9,0.00329,115,0
Slovak Republic,1995,44300,8.24,1,120,53800
South Africa,1995,362000,8.74,1.7,1620,371000
South Korea,1995,374000,8.26,0.621,610,454000
Spain,1995,267000,6.72,0.475,904,319000
Sweden,1995,59200,6.7,0.326,38.5,82200
Switzerland,1995,43400,6.21,0.0271,14.5,54600
Thailand,1995,157000,2.64,0.121,625,282000
Trinidad and Tobago,1995,17000,13.5,0,14.9,0
Turkey,1995,181000,3.1,0.283,886,261000
Turkmenistan,1995,34000,8.07,0.00119,32.6,55200
Ukraine,1995,390000,7.67,0.834,820,598000
United Arab Emirates,1995,70100,29,0,68.1,93900
United Kingdom,1995,567000,9.79,0.819,1180,728000
United States,1995,5440000,20.5,1.91,8450,6370000
Uzbekistan,1995,103000,4.53,0.0372,120,145000
Venezuela,1995,133000,6.06,0.00023,295,228000
Vietnam,1995,28500,0.381,0.0412,66.5,121000
Algeria,1996,96900,3.31,0.00993,143,124000
Argentina,1996,135000,3.82,0.0258,174,288000
Australia,1996,313000,17.2,2.37,927,509000
Austria,1996,67700,8.45,0.434,24.5,85600
Azerbaijan,1996,31300,3.98,0.00038,145,39000
Bangladesh,1996,21500,0.183,0.00145,74.1,139000
Belarus,1996,59300,5.9,0.114,123,131000
Belgium,1996,130000,12.7,0.809,127,153000
Brazil,1996,281000,1.71,0.0741,1050,1610000
Bulgaria,1996,58000,7,0.932,710,82900
Canada,1996,510000,17.3,0.907,1260,699000
Chile,1996,47700,3.27,0.227,1510,73600
China,1996,3410000,2.73,0.557,9120,5180000
Colombia,1996,59800,1.61,0.0735,118,183000
Czech Republic,1996,135000,13,2.18,473,155000
Denmark,1996,74900,14.3,1.7,86,92900
Ecuador,1996,24000,2.05,0,72.8,41300
Egypt,1996,93600,1.47,0.0147,271,159000
Finland,1996,64100,12.5,1.37,52.5,84000
France,1996,413000,7.13,0.267,477,573000
Germany,1996,960000,11.8,1.11,670,1150000
Greece,1996,89200,8.23,0.73,261,102000
Hungary,1996,63200,6.12,0.459,337,80700
India,1996,880000,0.895,0.147,3050,1710000
Indonesia,1996,255000,1.28,0.0323,367,1310000
Iran,1996,274000,4.4,0.0175,598,386000
Ireland,1996,37500,10.3,0.811,73.5,70200
Israel,1996,52000,9.58,0.912,193,56500
Italy,1996,445000,7.79,0.196,614,507000
Japan,1996,1250000,9.89,0.683,439,1420000
Kazakhstan,1996,149000,9.54,1.54,1110,272000
Kuwait,1996,50000,30.7,0,104,56800
Lithuania,1996,15700,4.35,0.0626,46.5,30200
Malaysia,1996,124000,5.9,0.0798,147,240000
Mexico,1996,346000,3.72,0.06,1150,533000
Netherlands,1996,183000,11.7,0.552,68,244000
New Zealand,1996,29300,7.89,0.316,36,70600
Norway,1996,41900,9.53,0.219,16.5,72000
Pakistan,1996,93600,0.735,0.0178,514,220000
Peru,1996,24200,0.978,0.016,361,66900
Philippines,1996,61300,0.859,0.0276,303,134000
Poland,1996,377000,9.78,1.87,1180,436000
Portugal,1996,52200,5.15,0.385,136,67600
Qatar,1996,32200,61.7,0,14.5,0
Romania,1996,130000,5.71,0.471,456,182000
Russia,1996,1580000,10.7,0.791,4640,2720000
Saudi Arabia,1996,258000,13.6,0,348,276000
Singapore,1996,49400,13.6,8.00E-05,98.4,0
Slovak Republic,1996,44200,8.2,0.992,114,54900
South Africa,1996,364000,8.62,1.69,1590,384000
South Korea,1996,402000,8.78,0.705,602,487000
Spain,1996,255000,6.39,0.401,791,310000
Sweden,1996,63200,7.13,0.342,40.5,87900
Switzerland,1996,44100,6.27,0.0202,14,54900
Thailand,1996,174000,2.89,0.145,669,296000
Trinidad and Tobago,1996,20500,16.3,0,14.1,0
Turkey,1996,200000,3.36,0.313,921,278000
Turkmenistan,1996,30600,7.14,0.0107,27.2,51100
Ukraine,1996,352000,6.95,0.661,647,534000
United Arab Emirates,1996,72800,28.7,0,67.5,103000
United Kingdom,1996,589000,10.1,0.763,1010,744000
United States,1996,5630000,21,1.97,8350,6580000
Uzbekistan,1996,106000,4.57,0.0339,125,147000
Venezuela,1996,122000,5.47,0.00071,332,240000
Vietnam,1996,34100,0.448,0.0453,111,127000
Algeria,1997,87100,2.93,0.0171,160,124000
Argentina,1997,138000,3.86,0.0236,192,300000
Australia,1997,321000,17.5,2.47,921,921000
Austria,1997,67500,8.41,0.46,22.5,84700
Azerbaijan,1997,29800,3.76,0.00038,149,37700
Bangladesh,1997,23100,0.193,0.00261,72.3,140000
Belarus,1997,62600,6.25,0.121,104,131000
Belgium,1997,124000,12.1,0.781,113,150000
Brazil,1997,297000,1.78,0.0734,1090,1650000
Bulgaria,1997,55600,6.78,0.954,683,78500
Canada,1997,525000,17.6,0.94,1260,690000
Chile,1997,55500,3.75,0.291,1790,82400
China,1997,3420000,2.71,0.542,11700,5110000
Colombia,1997,64500,1.71,0.0858,121,188000
Czech Republic,1997,131000,12.7,2.24,351,149000
Denmark,1997,65500,12.4,1.26,49,83200
Ecuador,1997,18200,1.52,0,73.6,41400
Egypt,1997,108000,1.66,0.0122,260,165000
Finland,1997,62800,12.2,1.29,49.5,82100
France,1997,406000,6.98,0.233,403,565000
Germany,1997,933000,11.5,1.07,520,1120000
Greece,1997,93900,8.61,0.779,258,106000
Hungary,1997,61800,6,0.446,330,78800
India,1997,916000,0.915,0.151,3140,1760000
Indonesia,1997,281000,1.39,0.0393,495,5040000
Iran,1997,267000,4.23,0.0176,542,403000
Ireland,1997,38800,10.6,0.765,83,71600
Israel,1997,54900,9.86,0.967,199,58600
Italy,1997,449000,7.89,0.198,576,508000
Japan,1997,1250000,9.82,0.7,438,1410000
Kazakhstan,1997,140000,9.1,1.34,1200,207000
Kuwait,1997,54700,32,0,103,59700
Lithuania,1997,15100,4.21,0.0509,38.5,29900
Malaysia,1997,124000,5.74,0.0752,156,246000
Mexico,1997,369000,3.9,0.0591,1260,539000
Netherlands,1997,175000,11.2,0.534,59,236000
New Zealand,1997,31300,8.35,0.337,29.5,73500
Norway,1997,42000,9.49,0.216,15,74600
Pakistan,1997,93900,0.716,0.0162,506,226000
Peru,1997,27300,1.08,0.0164,415,67200
Philippines,1997,70100,0.96,0.0334,330,141000
Poland,1997,368000,9.55,1.82,1090,434000
Portugal,1997,55200,5.43,0.348,147,70800
Qatar,1997,37400,69.9,0,15.1,0
Romania,1997,123000,5.44,0.429,456,167000
Russia,1997,1480000,9.99,0.731,4190,2460000
Saudi Arabia,1997,216000,11.1,0,285,281000
Singapore,1997,58100,15.5,0,104,0
Slovak Republic,1997,44300,8.22,0.944,101,54900
South Africa,1997,386000,8.98,1.7,1650,403000
South Korea,1997,428000,9.27,0.752,640,514000
Spain,1997,267000,6.68,0.457,870,330000
Sweden,1997,58100,6.55,0.296,38,81600
Switzerland,1997,43100,6.09,0.0155,13,53600
Thailand,1997,179000,2.95,0.148,661,301000
Trinidad and Tobago,1997,18300,14.6,0,12.5,0
Turkey,1997,212000,3.51,0.344,1010,290000
Turkmenistan,1997,30600,7.02,0,20.9,45900
Ukraine,1997,341000,6.79,0.762,566,515000
United Arab Emirates,1997,73200,27.4,0,64.3,102000
United Kingdom,1997,563000,9.65,0.678,835,716000
United States,1997,5710000,21,1.99,8550,6720000
Uzbekistan,1997,107000,4.53,0.0347,118,151000
Venezuela,1997,134000,5.85,0.00148,320,250000
Vietnam,1997,44300,0.575,0.0574,137,134000
Algeria,1998,107000,3.53,0.0181,171,127000
Argentina,1998,139000,3.87,0.0202,197,312000
Australia,1998,335000,18,2.55,914,921000
Austria,1998,67100,8.35,0.405,20.5,85700
Azerbaijan,1998,31700,3.97,0,164,40000
Bangladesh,1998,23200,0.189,0.00074,63.5,129000
Belarus,1998,59500,5.96,0.108,95,87300
Belgium,1998,130000,12.7,0.786,107,152000
Brazil,1998,309000,1.82,0.0708,1110,2260000
Bulgaria,1998,53200,6.54,0.922,626,71900
Canada,1998,534000,17.8,0.996,1270,1130000
Chile,1998,56900,3.8,0.271,1870,91600
China,1998,3270000,2.57,0.534,10500,5140000
Colombia,1998,65200,1.7,0.0803,125,165000
Czech Republic,1998,125000,12.1,2.06,222,147000
Denmark,1998,61300,11.6,1.06,36,76200
Ecuador,1998,22300,1.83,0,74.3,40700
Egypt,1998,122000,1.84,0.0118,253,171000
Finland,1998,59400,11.5,1.06,44.5,77900
France,1998,426000,7.29,0.276,412,578000
Germany,1998,925000,11.4,1.05,418,1060000
Greece,1998,98700,9,0.809,262,114000
Hungary,1998,61400,5.97,0.416,296,77900
India,1998,934000,0.916,0.154,2930,1770000
Indonesia,1998,216000,1.05,0.0416,457,1190000
Iran,1998,306000,4.79,0.0202,541,411000
Ireland,1998,40700,11,0.762,88,65400
Israel,1998,56100,9.84,1.01,204,59600
Italy,1998,460000,8.11,0.206,508,519000
Japan,1998,1210000,9.49,0.666,427,1370000
Kazakhstan,1998,135000,8.9,1.34,1230,218000
Kuwait,1998,51600,28.2,0,92.5,63900
Lithuania,1998,15900,4.47,0.0447,47,25400
Malaysia,1998,114000,5.17,0.0783,129,259000
Mexico,1998,389000,4.05,0.0595,1400,692000
Netherlands,1998,177000,11.2,0.542,55,227000
New Zealand,1998,29900,7.91,0.304,29.5,69500
Norway,1998,42200,9.5,0.233,15,74600
Pakistan,1998,96800,0.718,0.0158,557,234000
Peru,1998,27600,1.08,0.0177,456,70300
Philippines,1998,68300,0.915,0.033,290,163000
Poland,1998,339000,8.79,1.64,949,389000
Portugal,1998,59700,5.85,0.347,171,83100
Qatar,1998,32300,58.6,0,17,38700
Romania,1998,108000,4.79,0.359,456,147000
Russia,1998,1460000,9.9,0.686,4040,3460000
Saudi Arabia,1998,207000,10.5,0,241,293000
Singapore,1998,48400,12.5,0,98.9,0
Slovak Republic,1998,44000,8.16,0.869,89.5,53000
South Africa,1998,378000,8.64,1.62,1560,458000
South Korea,1998,364000,7.8,0.774,524,450000
Spain,1998,276000,6.86,0.434,804,344000
Sweden,1998,58700,6.62,0.287,36.5,83300
Switzerland,1998,44600,6.3,0.0128,12,54400
Thailand,1998,159000,2.59,0.117,528,400000
Trinidad and Tobago,1998,19100,15.1,0,16.2,21200
Turkey,1998,212000,3.46,0.352,1000,296000
Turkmenistan,1998,32100,7.26,0,20.9,45800
Ukraine,1998,329000,6.61,0.745,512,485000
United Arab Emirates,1998,80700,28.7,0,63.3,105000
United Kingdom,1998,568000,9.71,0.659,804,705000
United States,1998,5750000,20.9,1.98,8600,6750000
Uzbekistan,1998,119000,4.95,0.0342,125,166000
Venezuela,1998,167000,7.17,0.00152,321,286000
Vietnam,1998,46600,0.596,0.0607,111,187000
Algeria,1999,91700,3,0.0191,193,133000
Argentina,1999,147000,4.02,0.0201,206,334000
Australia,1999,344000,18.3,2.53,963,1190000
Austria,1999,65800,8.17,0.401,19,83900
Azerbaijan,1999,28600,3.55,0,181,40500
Bangladesh,1999,25100,0.2,0.00036,57.7,138000
Belarus,1999,57000,5.75,0.1,81.8,87500
Belgium,1999,125000,12.2,0.688,88,147000
Brazil,1999,317000,1.84,0.0706,1130,1600000
Bulgaria,1999,46300,5.74,0.804,472,65900
Canada,1999,549000,18.1,0.949,1250,822000
Chile,1999,61000,4.02,0.276,2140,97100
China,1999,3260000,2.54,0.546,9290,5080000
Colombia,1999,54800,1.41,0.0632,117,150000
Czech Republic,1999,117000,11.3,1.79,134,142000
Denmark,1999,58700,11,0.889,26.5,72900
Ecuador,1999,21400,1.72,0,86.7,37400
Egypt,1999,125000,1.85,0.0105,242,178000
Finland,1999,58900,11.4,1.02,42.5,76500
France,1999,422000,7.19,0.246,353,564000
Germany,1999,897000,11,1.01,368,1020000
Greece,1999,98000,8.89,0.772,269,110000
Hungary,1999,61900,6.04,0.406,295,78200
India,1999,996000,0.96,0.149,2780,1960000
Indonesia,1999,244000,1.17,0.0565,427,669000
Iran,1999,380000,5.86,0.0188,502,426000
Ireland,1999,42400,11.4,0.648,78.5,66600
Israel,1999,54800,9.41,0.974,210,61000
Italy,1999,465000,8.2,0.206,461,521000
Japan,1999,1240000,9.76,0.7,405,1400000
Kazakhstan,1999,108000,7.2,1.26,1350,183000
Kuwait,1999,53900,27.6,0,88.8,65100
Lithuania,1999,13400,3.8,0.0384,35,22700
Malaysia,1999,108000,4.78,0.0856,113,160000
Mexico,1999,391000,4.01,0.0596,1310,554000
Netherlands,1999,171000,10.8,0.472,52.5,219000
New Zealand,1999,31500,8.25,0.309,30,71800
Norway,1999,43000,9.61,0.217,14,76300
Pakistan,1999,99500,0.718,0.0155,605,247000
Peru,1999,29200,1.12,0.0159,446,64300
Philippines,1999,68200,0.894,0.0379,317,141000
Poland,1999,329000,8.53,1.57,860,381000
Portugal,1999,67400,6.57,0.359,172,84700
Qatar,1999,31300,54.9,0,17.5,43700
Romania,1999,90800,4.07,0.308,456,130000
Russia,1999,1490000,10.1,0.694,4090,2510000
Saudi Arabia,1999,226000,11.2,0,221,296000
Singapore,1999,49900,12.6,0,83.8,0
Slovak Republic,1999,43200,8,0.844,85.5,52300
South Africa,1999,375000,8.46,1.67,1570,431000
South Korea,1999,399000,8.48,0.813,458,490000
Spain,1999,299000,7.4,0.484,820,364000
Sweden,1999,55900,6.3,0.275,29.5,81500
Switzerland,1999,44500,6.25,0.0132,10,54300
Thailand,1999,166000,2.67,0.123,508,317000
Trinidad and Tobago,1999,22500,17.8,0,15.9,22900
Turkey,1999,208000,3.34,0.322,930,296000
Turkmenistan,1999,37600,8.43,0,22.9,56000
Ukraine,1999,298000,6.06,0.784,515,483000
United Arab Emirates,1999,77600,26.2,0,53.1,107000
United Kingdom,1999,561000,9.55,0.584,615,680000
United States,1999,5830000,20.9,1.95,7970,6810000
Uzbekistan,1999,122000,5.01,0.0337,122,168000
Venezuela,1999,173000,7.27,0.00152,314,231000
Vietnam,1999,46700,0.591,0.0449,96,176000
Algeria,2000,87500,2.82,0.0155,210,134000
Argentina,2000,142000,3.85,0.0166,200,331000
Australia,2000,350000,18.5,2.52,1210,1080000
Austria,2000,66400,8.22,0.453,17.5,82700
Azerbaijan,2000,29500,3.64,0,185,42600
Bangladesh,2000,26500,0.208,0.00251,65.6,136000
Belarus,2000,55500,5.62,0.1,71.4,83400
Belgium,2000,127000,12.3,0.778,84.5,147000
Brazil,2000,324000,1.86,0.0742,1180,1220000
Bulgaria,2000,45200,5.66,0.804,491,66200
Canada,2000,572000,18.7,0.995,1190,761000
Chile,2000,58200,3.79,0.21,1380,90400
China,2000,3350000,2.6,0.55,9980,5080000
Colombia,2000,56300,1.42,0.0669,130,165000
Czech Republic,2000,127000,12.4,2.1,132,162000
Denmark,2000,54300,10.2,0.743,13.5,68600
Ecuador,2000,20600,1.62,0,95.2,39800
Egypt,2000,140000,2.04,0.0124,228,184000
Finland,2000,57100,11,0.967,38,75100
France,2000,416000,7.06,0.238,314,560000
Germany,2000,901000,11.1,1.05,318,1020000
Greece,2000,103000,9.3,0.811,245,115000
Hungary,2000,58600,5.73,0.377,243,75500
India,2000,1030000,0.975,0.156,2730,1890000
Indonesia,2000,266000,1.26,0.0622,418,622000
Iran,2000,370000,5.63,0.0197,499,448000
Ireland,2000,45200,12,0.68,65.5,68100
Israel,2000,59600,10,1.04,218,65600
Italy,2000,471000,8.3,0.219,386,547000
Japan,2000,1270000,9.93,0.749,410,1410000
Kazakhstan,2000,134000,8.95,1.18,1600,207000
Kuwait,2000,53400,26.1,0,69.3,65200
Lithuania,2000,11800,3.37,0.0264,21.6,21300
Malaysia,2000,127000,5.46,0.107,130,171000
Mexico,2000,396000,4.01,0.0644,1380,576000
Netherlands,2000,172000,10.8,0.487,45.5,220000
New Zealand,2000,32300,8.38,0.291,31,74400
Norway,2000,42600,9.46,0.221,13.5,71200
Pakistan,2000,106000,0.741,0.0146,705,247000
Peru,2000,30100,1.14,0.0243,473,66600
Philippines,2000,72400,0.928,0.0515,350,150000
Poland,2000,318000,8.26,1.46,756,393000
Portugal,2000,66200,6.43,0.358,156,88600
Qatar,2000,34600,58.4,0,19.3,44400
Romania,2000,95500,4.31,0.339,456,133000
Russia,2000,1470000,10.1,0.722,3960,2770000
Saudi Arabia,2000,297000,14.4,0,218,311000
Singapore,2000,48900,12.1,0,81.6,0
Slovak Republic,2000,41300,7.64,0.792,62,50400
South Africa,2000,379000,8.42,1.63,1540,420000
South Korea,2000,446000,9.41,0.908,414,513000
Spain,2000,311000,7.62,0.512,761,381000
Sweden,2000,54700,6.16,0.276,27.5,77900
Switzerland,2000,43600,6.11,0.0192,9,53100
Thailand,2000,171000,2.71,0.125,467,284000
Trinidad and Tobago,2000,23800,18.8,0,16.4,24100
Turkey,2000,230000,3.64,0.355,1030,316000
Turkmenistan,2000,37500,8.3,0,25.1,63200
Ukraine,2000,286000,5.85,0.802,515,470000
United Arab Emirates,2000,112000,35.7,0,53.5,115000
United Kingdom,2000,568000,9.63,0.623,595,674000
United States,2000,6000000,21.3,2.02,7420,6970000
Uzbekistan,2000,122000,4.91,0.0289,116,166000
Venezuela,2000,152000,6.28,0.0054,371,252000
Vietnam,2000,52400,0.655,0.0583,88.8,156000
